"strataID","BpS","SCLASS","YEAR","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2002_Na0210290_fdw","Na0210290","A",2002,"fdw","Na0210290_fdw","A",7396.190515,57447.29724,5318.46170180624,4278.7453586108,6358.17798755437,1038.01252744563
"2002_Na0210290_fdw","Na0210290","B",2002,"fdw","Na0210290_fdw","B",1070.66330347417,57447.29724,627.849669052168,272.1378428556,983.561495248736,87.1018082254318
"2002_Na0210290_fdw","Na0210290","C",2002,"fdw","Na0210290_fdw","C",10755.269891289,57447.29724,12167.1766455524,10755.269891289,13579.0844913145,0
"2002_Na0210290_fdw","Na0210290","D",2002,"fdw","Na0210290_fdw","D",35539.642100264,57447.29724,37295.9545356014,35539.642100264,39052.2669709389,0
"2002_Na0210290_fdw","Na0210290","E",2002,"fdw","Na0210290_fdw","E",2685.53142997283,57447.29724,2037.85405606747,1390.17656726751,2685.53142997283,0
"2002_Na0210290_fwo","Na0210290","A",2002,"fwo","Na0210290_fwo","A",23892.33964,216308.93843,20025.8473430371,16110.9557942607,23940.7386755047,0
"2002_Na0210290_fwo","Na0210290","B",2002,"fwo","Na0210290_fwo","B",7988.29268400278,216308.93843,2364.07110397073,1024.6930790982,3703.44912884326,4284.84355515952
"2002_Na0210290_fwo","Na0210290","C",2002,"fwo","Na0210290_fwo","C",40497.3101344266,216308.93843,45813.6272781375,40497.3101344266,51129.9485317181,0
"2002_Na0210290_fwo","Na0210290","D",2002,"fwo","Na0210290_fwo","D",133819.041525551,216308.93843,140432.165148271,133819.041525551,147045.288770991,0
"2002_Na0210290_fwo","Na0210290","E",2002,"fwo","Na0210290_fwo","E",10111.9544460195,216308.93843,7673.22517718544,5234.49547573347,10111.9544460195,0
"2002_Na0210350_fvg","Na0210350","A",2002,"fvg","Na0210350_fvg","A",5941.19627875355,93108.557885,4707.26031112189,3473.3241572731,5941.19627875355,0
"2002_Na0210350_fvg","Na0210350","B",2002,"fvg","Na0210350_fvg","B",11198.8956692714,93108.557885,9481.12778440652,7763.35896845604,11198.8956692714,0
"2002_Na0210350_fvg","Na0210350","C",2002,"fvg","Na0210350_fvg","C",6729.0924410376,93108.557885,8373.48882700941,6729.0924410376,10017.8843750042,0
"2002_Na0210350_fvg","Na0210350","D",2002,"fvg","Na0210350_fvg","D",36832.21507394,93108.557885,40922.1780297226,37865.654052496,43978.7020069492,-1033.43897855596
"2002_Na0210350_fvg","Na0210350","E",2002,"fvg","Na0210350_fvg","E",32407.1584219974,93108.557885,29624.5038638252,26841.8510747156,32407.1584219974,0
"2002_Na0710270_fdd","Na0710270","A",2002,"fdd","Na0710270_fdd","A",102809.49051231,1403267.971,126668.321246755,102809.49051231,150527.153384467,0
"2002_Na0710270_fdd","Na0710270","B",2002,"fdd","Na0710270_fdd","B",216048.660764177,1403267.971,88517.081336826,66538.0641665293,110496.091490783,105552.569273394
"2002_Na0710270_fdd","Na0710270","C",2002,"fdd","Na0710270_fdd","C",249311.717732421,1403267.971,281363.059824046,249311.717732421,313414.401915672,0
"2002_Na0710270_fdd","Na0710270","D",2002,"fdd","Na0710270_fdd","D",554930.270048274,1403267.971,593265.868497696,554930.270048274,631601.415026204,0
"2002_Na0710270_fdd","Na0710270","E",2002,"fdd","Na0710270_fdd","E",280167.831942819,1403267.971,313453.640094677,280167.831942819,346739.473505358,0
"2002_Na0710411_fmt","Na0710411","A",2002,"fmt","Na0710411_fmt","A",7503.98895555555,503602.80254,4626.61204060785,1749.23512566014,7503.98895555555,0
"2002_Na0710411_fmt","Na0710411","B",2002,"fmt","Na0710411_fmt","B",31045.1195166986,503602.80254,24210.3270300086,17375.5350469214,31045.1195166985,7.27595761418343e-12
"2002_Na0710411_fmt","Na0710411","C",2002,"fmt","Na0710411_fmt","C",28816.618697534,503602.80254,22250.3975854386,15684.1789913572,28816.618697534,0
